Key	English	Spanish	French	Italian	German	Russian	Japanese
dungeon_startingcastle	Keep of the Unnamed Tyrant	Fortaleza del Tirano Innominado	Donjon du tyran sans nom	Fortezza del Tiranno Senza Nome	Festung des namenlosen Tyrannen	Крепость Безымянного Тирана	無名の暴君の砦
dungeon_startingcastlemausoleum	Bygone Mausoleum	Mausoleo pasado	Mausolée d'autrefois	Mausoleo passato	Vergangenes Mausoleum	Мавзолей прошлого	過ぎ去った霊廟
dungeon_dungeon2	???	???	???	???	???	???	???
dungeon_dungeon3	???	???	???	???	???	???	???
dungeon_dungeon4	???	???	???	???	???	???	???
dungeon_dungeon5	???	???	???	???	???	???	???
dungeon_dungeon6	???	???	???	???	???	???	???
dungeon_dungeon7	???	???	???	???	???	???	???
dungeon_dungeon8	???	???	???	???	???	???	???
dungeon_openworld	Loma	Loma	Loma	Loma	Loma	Лома	ロマ
item_receive	You search for anything useful...<br>You find (0) (1).	Buscas algo útil...<br>Encuentras (0) (1).	Vous recherchez quelque chose d'utile...<br>Vous trouvez (0) (1).	Cerchi qualcosa di utile...<br>Trovi (0) (1).	Sie suchen nach etwas Nützlichem...<br>Sie finden (0) (1).	Вы ищете что-нибудь полезное...<br>Вы находите (0) (1).	何か役に立つものを検索します...<br>(0) (1) が見つかります。
item_meat	Chunk of Flesh	Trozo de carne	Morceau de chair	Pezzo di carne	Stück Fleisch	Кусок плоти	肉の塊
item_meat_plur	Chunks of Flesh	Trozos de carne	Morceaux de chair	Pezzi di carne	Fleischstücke	Куски плоти	肉塊
item_meat_desc	Hefty and still leaking blood.	Corpulento y todavía perdiendo sangre.	Lourd et toujours en train de saigner.	Robusto e ancora sanguinante.	Kräftig und immer noch blutend.	Тяжёлый и всё ещё истекающий кровью.	重くてまだ血が漏れている。
item_meatrotten	Chunk of Rotting Meat	Trozo de carne podrida	Morceau de viande pourrie	Pezzo di carne marcia	Stück verrottendes Fleisch	Кусок гниющего мяса	腐った肉塊
item_meatrotten_plur	Chunks of Rotting Meat	Trozos de carne podrida	Morceaux de viande en décomposition	Pezzi di carne in putrefazione	Stücke verrottendes Fleisch	Куски гниющего мяса	腐った肉塊
item_meatrotten_desc	don't eat that	no comas eso	ne mange pas ça	non mangiare quello	iss das nicht	не ешь это	それを食べないで
item_arrow	Fletched Arrow	Flecha emplumada	Flèche empennée	Freccia impennata	Befiederter Pfeil	Оперенная стрела	羽根付き矢
item_arrow_plur	Fletched Arrows	Flechas emplumadas	Flèches empennées	Frecce impennate	Befiederte Pfeile	Оперенные стрелы	羽根付き矢
item_arrow_desc	A simple wooden arrow with a barbed tip meant to lodge in prey.	Una simple flecha de madera con punta de púas destinada a clavarse en la presa.	Une simple flèche en bois avec une pointe barbelée destinée à se loger dans la proie.	Una semplice freccia di legno con la punta uncinata, pensata per conficcarsi nella preda.	Ein einfacher Holzpfeil mit einer Widerhakenspitze, der dazu bestimmt ist, in der Beute stecken zu bleiben.	Простая деревянная стрела с зазубренным наконечником, предназначенная для поражения добычи.	獲物に刺さるように先端にとげのあるシンプルな木製の矢。
item_tooth	Tooth	Diente	Dent	Dente	Zahn	Зуб	歯
item_tooth_plur	Teeth	Dientes	Dents	Denti	Zähne	Зубы	歯
item_tooth_desc	A yellowing tooth. Traded in Loma as money.	Un diente amarillento. Intercambiado en Loma como dinero.	Une dent jaunie. Échangée à Loma comme monnaie.	Un dente ingiallito. Veniva scambiato a Loma per denaro.	Ein gelblicher Zahn. In Loma als Geld eingetauscht.	Пожелтевший зуб. В Ломе его обменивали на деньги.	黄ばんだ歯。ロマでは金銭として取引される。
item_vial	Glass Vial	Vial de vidrio	flacon en verre	Fiala di vetro	Glasfläschchen	Стеклянный флакон	ガラスバイアル
item_vial_plur	Glass Vials	Viales de vidrio	Flacons en verre	Fiale di vetro	Glasfläschchen	Стеклянные флаконы	ガラスバイアル
item_vial_desc	Empty	Vacío	Vide	Vuoto	Leer	Пустой	空の
item_wine	Bottle of Wine	Botella de vino	Bouteille de vin	bottiglia di vino	Flasche Wein	Бутылка вина	ワイン1本
item_wine_plur	Bottles of Wine	Botellas de vino	Bouteilles de vin	Bottiglie di vino	Flaschen Wein	Бутылки вина	ワインのボトル
item_wine_desc	Yummy	Delicioso	Délicieux	Delizioso	Lecker	Вкусный	おいしい
item_ale	Stein of Ale	Jarra de cerveza	Chope de bière	Boccale di birra	Krug Bier	Кружка эля	ビールジョッキ
item_ale_plur	Steins of Ale	Jarras de cerveza	Chopes de bière	Boccali di birra	Krüge Bier	Кружки эля	ビールジョッキ
item_ale_desc	also yummy	También delicioso	aussi délicieux	anche delizioso	auch lecker	тоже вкусно	おいしい
item_campfire	Bundle of Kindling	Paquete de leña	Paquet de bois d'allumage	Fascio di legna da ardere	Bündel Anzündholz	Связка растопки	焚き付けの束
item_campfire_plur	Bundles of Kindling	Paquetes de leña	fagots de bois d'allumage	Fasci di legna da ardere	Bündel Anzündholz	Связки растопки	焚き付けの束
item_campfire_desc	Use this to light a campfire and save the game.	Usa esto para encender una fogata y guardar el juego.	Utilisez ceci pour allumer un feu de camp et sauvegarder la partie.	Usalo per accendere un falò e salvare la partita.	Verwenden Sie dies, um ein Lagerfeuer anzuzünden und das Spiel zu speichern.	Используйте это, чтобы разжечь костер и сохранить игру.	これを使ってキャンプファイヤーに火をつけ、ゲームを保存します。
item_huntingknife	Hunting Knife	Cuchillo de caza	Couteau de chasse	Coltello da caccia	Jagdmesser	Охотничий нож	ハンティングナイフ
item_huntingknife_plur	Hunting Knives	Cuchillos de caza	Couteaux de chasse	Coltelli da caccia	Jagdmesser	Охотничьи ножи	ハンティングナイフ
item_huntingknife_desc	Equally adept at flensing a pelt or gutting a creature.	Igualmente hábil para despellejar una piel o destripar una criatura.	Également habile à dépecer une peau ou à éviscérer une créature.	Altrettanto abili nello scuoiare una pelle o nello sventrare una creatura.	Ebenso geschickt im Abhäuten eines Fells oder Ausnehmen einer Kreatur.	Одинаково искусен в освежевании шкур и потрошении животных.	毛皮を剥ぐのも、生き物の内臓を取り出すのも、同様に熟練している。
item_shortbow	Wooden Shortbow	Arco corto de madera	Arc court en bois	Arco corto in legno	Hölzerner Kurzbogen	Деревянный короткий лук	木製ショートボウ
item_shortbow_plur	Wooden Shortbows	Arcos cortos de madera	Arcs courts en bois	Archi corti in legno	Hölzerne Kurzbögen	Деревянные короткие луки	木製ショートボウ
item_shortbow_desc	A simple tool for hunting from a distance.	Una herramienta sencilla para cazar a distancia.	Un outil simple pour chasser à distance.	Uno strumento semplice per la caccia a distanza.	Ein einfaches Werkzeug für die Jagd aus der Ferne.	Простой инструмент для охоты на расстоянии.	遠くから狩りをするためのシンプルな道具。
item_drawknife	Draw Knife	Cuchillo de dibujo	Couteau à tirer	Coltello da disegno	Ziehmesser	Скоба	ドローナイフ
item_drawknife_plur	Draw Knives	Dibujar cuchillos	Couteaux à tirer	Coltelli da disegno	Ziehmesser	Выдвижные ножи	ドローナイフ
item_drawknife_desc	It's really sharp and good at cutting dead wood	Es realmente afilado y bueno para cortar madera muerta.	Il est vraiment tranchant et efficace pour couper le bois mort	È davvero affilato e bravo a tagliare il legno morto	Es ist wirklich scharf und gut zum Schneiden von totem Holz	Он действительно острый и хорошо режет сухостой.	本当に鋭くて枯れ木を切るのに優れています
int_leave	Close	Cerca	Fermer	Vicino	Schließen	Закрывать	近い
int_read	Read	Leer	Lire	Leggere	Lesen	Читать	読む
int_gravemessage_3	The headstone reads, "Here lies Link".	La lápida dice: "Aquí yace Link".	Sur la pierre tombale on peut lire : « Ici repose Link ».	Sulla lapide c'è scritto: "Qui giace Link".	Auf dem Grabstein steht: „Hier liegt Link“.	На надгробии написано: «Здесь покоится Линк».	墓石には「ここにリンクが眠る」と刻まれている。
